P_GPa,Raman_shift_cm1,Raman_shift_unc_cm1,NV_hydro_delta_MHz,NV_hydro_delta_unc_MHz
0.0,1334.0,0.0,0.0,0.0
0.5031446540880503,1335.2270397369225,0.025121808207308718,-1.5094339622641506,0.2250131298112996
1.0062893081761006,1336.4540639990628,0.05024267645541955,-3.018867924528301,0.4500262596225992
1.509433962264151,1337.6810727870068,0.07536260482442086,-4.528301886792453,0.6750393894338989
2.0125786163522013,1338.9080661013618,0.10048159339536668,-6.037735849056602,0.9000525192451984
2.5157232704402515,1340.1350439426938,0.12559964224950293,-7.547169811320753,1.125065649056498
3.018867924528302,1341.3620063115686,0.1507167514667154,-9.056603773584905,1.3500787788677977
3.5220125786163523,1342.5889532085935,0.1758329211281005,-10.566037735849056,1.5750919086790973
4.0251572327044025,1343.8158846343745,0.20094815131518087,-12.075471698113205,1.8001050384903967
4.528301886792453,1345.042800589458,0.22606244210765117,-13.584905660377359,2.0251181683016966
5.031446540880503,1346.2697010744705,0.2511757935879059,-15.094339622641506,2.250131298112996
5.534591194968553,1347.4965860899583,0.2762882058355623,-16.60377358490566,2.4751444279242953
6.037735849056604,1348.723455636528,0.301399678931667,-18.11320754716981,2.7001575577355954
6.540880503144654,1349.9503097147456,0.32651021295666854,-19.622641509433965,2.925170687546895
7.044025157232705,1351.1771483252178,0.3516198079918859,-21.132075471698112,3.1501838173581946
7.547169811320755,1352.403971468511,0.37672846411738087,-22.64150943396227,3.3751969471694943
8.050314465408805,1353.6307791452314,0.401836181414536,-24.15094339622641,3.6002100769807934
8.553459119496855,1354.8575713559453,0.4269429599642925,-25.660377358490564,3.825223206792093
9.056603773584905,1356.0843481012598,0.45204879984677226,-27.169811320754718,4.050236336603393
9.559748427672956,1357.3111093817404,0.4771537011431468,-28.679245283018865,4.275249466414692
10.062893081761006,1358.537855197954,0.5022576639338463,-30.188679245283012,4.500262596225992
10.566037735849056,1359.7645855505268,0.5273606882996601,-31.69811320754716,4.7252757260372915
11.069182389937106,1360.9913004400255,0.5524627743212178,-33.20754716981132,4.950288855848591
11.572327044025156,1362.217999867016,0.5775639220794946,-34.71698113207547,5.175301985659891
12.075471698113208,1363.4446838321255,0.6026641316551324,-36.22641509433962,5.400315115471191
12.578616352201259,1364.6713523358994,0.6277634031276431,-37.73584905660377,5.625328245282491
13.081761006289309,1365.8980053789446,0.6528617365795374,-39.24528301886793,5.85034137509379
13.584905660377359,1367.1246429618277,0.6779591320905163,-40.75471698113208,6.075354504905089
14.08805031446541,1368.3512650851546,0.7030555897413122,-42.264150943396224,6.300367634716389
14.59119496855346,1369.577871749492,0.7281511096125872,-43.77358490566037,6.5253807645276884
15.09433962264151,1370.8044629554465,0.7532456917852974,-45.28301886792454,6.7503938943389885
15.59748427672956,1372.0310387035638,0.7783393363396615,-46.79245283018868,6.975407024150288
16.10062893081761,1373.257598994471,0.8034320433566824,-48.30188679245282,7.200420153961587
16.60377358490566,1374.484143828734,0.828523812916213,-49.81132075471699,7.425433283772887
17.10691823899371,1375.7106732068992,0.8536146450997779,-51.32075471698113,7.650446413584186
17.61006289308176,1376.9371871296337,0.8787045399875799,-52.83018867924528,7.875459543395486
18.11320754716981,1378.163685597443,0.9037934976603471,-54.339622641509436,8.100472673206786
18.61635220125786,1379.390168610974,0.9288815181977849,-55.849056603773576,8.325485803018084
19.11949685534591,1380.6166361707526,0.9539686016818385,-57.35849056603773,8.550498932829385
19.62264150943396,1381.843088277406,0.9790547481923563,-58.8679245283019,8.775512062640685
20.12578616352201,1383.06952493152,1.0041399578095205,-60.377358490566024,9.000525192451985
20.628930817610062,1384.2959461336409,1.0292242306150732,-61.88679245283019,9.225538322263283
21.132075471698112,1385.5223518843752,1.0543075666882995,-63.39622641509432,9.450551452074583
21.635220125786162,1386.7487421843095,1.0793899661106612,-64.90566037735849,9.675564581885881
22.138364779874212,1387.97511703403,1.1044714289625313,-66.41509433962264,9.900577711697181
22.641509433962263,1389.2014764341031,1.1295519553232813,-67.92452830188678,10.125590841508481
23.144654088050313,1390.4278203851354,1.1546315452750058,-69.43396226415094,10.350603971319781
23.647798742138363,1391.654148887693,1.1797101988969412,-70.9433962264151,10.57561710113108
24.150943396226417,1392.8804619423624,1.2047879162708977,-72.45283018867924,10.800630230942382
24.654088050314467,1394.1067595497298,1.2298646974763765,-73.96226415094341,11.025643360753682
25.157232704402517,1395.333041710402,1.2549405425940494,-75.47169811320754,11.250656490564982
25.660377358490567,1396.5593084249253,1.2800154517040716,-76.9811320754717,11.47566962037628
26.163522012578618,1397.7855596939055,1.3050894248873086,-78.49056603773586,11.70068275018758
26.666666666666668,1399.0117955179096,1.3301624622249284,-80.0,11.92569587999888
27.169811320754718,1400.2380158975438,1.3552345637959324,-81.50943396226415,12.150709009810178
27.67295597484277,1401.4642208333744,1.3803057296820127,-83.01886792452832,12.375722139621478
28.17610062893082,1402.6904103259878,1.405375959962494,-84.52830188679245,12.600735269432779
28.67924528301887,1403.9165843759704,1.4304452547187434,-86.03773584905662,12.825748399244079
29.18238993710692,1405.1427429839086,1.4555136140304643,-87.54716981132074,13.050761529055377
29.68553459119497,1406.368886150389,1.4805810379780722,-89.0566037735849,13.275774658866677
30.18867924528302,1407.5950138759574,1.505647526642951,-90.56603773584908,13.500787788677977
